Origin,Destination,DepartureTime,ArrivalTime,Price
Aswan,Luxor,2026-01-22 08:00,2026-01-22 14:00,300
Alex,Aswan,2026-01-25 08:00,2026-01-25 16:00,150
Luxor,Aswan,2026-01-05 18:00,2026-01-06 02:00,300
Sharm,Cairo,2026-01-23 19:00,2026-01-24 00:00,200
Hurghada,Alex,2026-01-16 11:00,2026-01-16 16:00,220
Luxor,Sharm,2026-01-03 19:00,2026-01-04 03:00,250
Hurghada,Cairo,2026-01-16 07:00,2026-01-16 15:00,250
Luxor,Cairo,2026-01-08 10:00,2026-01-08 15:00,300
Cairo,Hurghada,2026-01-26 09:00,2026-01-26 12:00,220
Alex,Hurghada,2026-01-16 09:00,2026-01-16 17:00,150
Aswan,Cairo,2026-01-08 11:00,2026-01-08 14:00,180
Aswan,Hurghada,2026-01-24 00:00,2026-01-24 08:00,180
Luxor,Aswan,2026-01-24 03:00,2026-01-24 06:00,250
Aswan,Alex,2026-01-08 18:00,2026-01-08 22:00,220
Hurghada,Cairo,2026-01-28 09:00,2026-01-28 14:00,300
Alex,Aswan,2026-01-04 04:00,2026-01-04 08:00,220
Luxor,Aswan,2026-01-16 13:00,2026-01-16 19:00,250
Aswan,Sharm,2026-01-15 09:00,2026-01-15 12:00,200
Sharm,Luxor,2026-01-19 00:00,2026-01-19 04:00,150
Alex,Aswan,2026-01-28 17:00,2026-01-28 23:00,250
Alex,Hurghada,2026-01-11 01:00,2026-01-11 07:00,300
Cairo,Aswan,2026-01-29 14:00,2026-01-29 19:00,300
Sharm,Luxor,2026-01-22 11:00,2026-01-22 19:00,200
Cairo,Sharm,2026-01-16 19:00,2026-01-17 00:00,220
Aswan,Luxor,2026-01-10 08:00,2026-01-10 13:00,220
Alex,Cairo,2026-01-02 17:00,2026-01-02 22:00,200
Luxor,Alex,2026-01-20 14:00,2026-01-20 22:00,200
Aswan,Sharm,2026-01-02 06:00,2026-01-02 10:00,250
Sharm,Aswan,2026-01-13 14:00,2026-01-13 19:00,300
Cairo,Hurghada,2026-01-12 12:00,2026-01-12 18:00,150
Alex,Luxor,2026-01-11 03:00,2026-01-11 09:00,220
Cairo,Aswan,2026-01-06 03:00,2026-01-06 07:00,300
Alex,Luxor,2026-01-10 18:00,2026-01-10 22:00,200
Hurghada,Cairo,2026-01-24 18:00,2026-01-24 22:00,150
Cairo,Sharm,2026-01-29 08:00,2026-01-29 14:00,180
Aswan,Sharm,2026-01-08 16:00,2026-01-08 23:00,220
Hurghada,Luxor,2026-01-08 05:00,2026-01-08 10:00,220
Luxor,Alex,2026-01-26 19:00,2026-01-26 23:00,300
Cairo,Aswan,2026-01-28 11:00,2026-01-28 14:00,250
Cairo,Alex,2026-01-21 08:00,2026-01-21 11:00,250
Cairo,Alex,2026-01-25 14:00,2026-01-25 20:00,250
Alex,Cairo,2026-01-20 06:00,2026-01-20 13:00,150
Aswan,Luxor,2026-01-12 18:00,2026-01-13 02:00,220
Cairo,Hurghada,2026-01-08 14:00,2026-01-08 18:00,220
Sharm,Hurghada,2026-01-18 16:00,2026-01-18 21:00,150
Sharm,Alex,2026-01-09 00:00,2026-01-09 07:00,300
Sharm,Alex,2026-01-25 09:00,2026-01-25 13:00,150
Hurghada,Cairo,2026-01-25 16:00,2026-01-25 21:00,200
Alex,Luxor,2026-01-02 16:00,2026-01-02 23:00,150
Sharm,Alex,2026-01-16 12:00,2026-01-16 16:00,200
